manufacture,product_image,product_name,product_price,product_type
Mfr: Dynamic Techno Medicals Pvt.Ltd,https://www.netmeds.com/images/product-v1/150x150/408157/dynamic_tubifix_elasticated_tubular_bandage_b_p_1m_12_0_cm_4030_007_0.jpg,Dynamic Tubifix Elasticated Tubular Bandage B.P 1M 12.0 cm (4030-007),Rs. 244.50,Surgical
Mfr: Dynamic Techno Medicals Pvt.Ltd,https://www.netmeds.com/images/product-v1/150x150/408155/dynamic_tubifix_elasticated_tubular_bandage_b_p_1m_10_0_cm_4030_006_0.jpg,Dynamic Tubifix Elasticated Tubular Bandage B.P 1M 10.0 cm (4030-006),Rs. 241.08,Surgical
Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902224/sahyog_wellness_piston_compressor_nebulizer_for_children_adults_with_flow_adjuster_0_0.jpg,Sahyog Wellness Piston Compressor Nebulizer for Children & Adults with Flow Adjuster,"Rs. 1,836.00",Surgical
Mfr: Dynamic Techno Medicals Pvt.Ltd,https://www.netmeds.com/images/product-v1/150x150/408152/dynamic_tubifix_elasticated_tubular_bandage_b_p_1m_6_75_cm_4030_003_0.jpg,Dynamic Tubifix Elasticated Tubular Bandage B.P 1M 6.75 cm (4030-003),Rs. 155.25,Surgical
Mfr: Dynamic Techno Medicals Pvt.Ltd,https://www.netmeds.com/images/product-v1/150x150/408153/dynamic_tubifix_elasticated_tubular_bandage_b_p_1m_7_50_cm_4030_004_0.jpg,Dynamic Tubifix Elasticated Tubular Bandage B.P 1M 7.50 cm (4030-004),Rs. 186.00,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804448/3m_tegaderm_iv_transparent_film_1610in_0_1.jpg,3M Tegaderm IV Transparent Film (1610IN),Rs. 79.65,Surgical
Mfr: Becton Dickinson (I) Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/821375/bd_ultra_fine_100iu_31g_syringe_1_x_10_s_0.jpg,BD Ultra Fine 100IU/31G Syringe 1 x 10's,Rs. 86.00,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804473/3m_opticlude_orthoptic_eye_patches_1537_20s_0_1.jpg,3M Opticlude Orthoptic Eye Patches (1537) 20's,Rs. 367.50,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804467/3m_tegaderm_foam_adhesive_dressing_90614_0_1.jpg,3M Tegaderm Foam Adhesive Dressing (90614),Rs. 362.95,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/105089/3m_micropore_tape_1_inch_12s_0_1.jpg,3M Micropore Tape - 1 Inch 12's,Rs. 501.84,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804494/3m_tegaderm_hp_pad_film_dressing_8591in_0.jpg,3M Tegaderm HP+Pad Film Dressing (8591IN),Rs. 395.16,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804491/3m_tegaderm_hp_pad_film_dressing_8590in_0.jpg,3M Tegaderm HP+Pad Film Dressing (8590IN),Rs. 390.15,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804487/3m_tegaderm_hppad_film_dressing_8584in_0_1.jpg,3M Tegaderm HP+Pad Film Dressing (8584IN),Rs. 134.30,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804480/3m_steri_strips_reinforced_skin_closures_r1541_0_1.jpg,3M Steri-Strips Reinforced Skin Closures (R1541),Rs. 83.16,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804482/3m_steri_strips_reinforced_skin_closures_r1542_0.jpg,3M Steri-Strips Reinforced Skin Closures (R1542),Rs. 108.36,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804498/3m_tegaderm_film_iv_1623win_0.jpg,3M Tegaderm Film IV (1623WIN),Rs. 40.29,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/803000/3m_micropore_tape_3_inch_4_s_0.jpg,3M Micropore Tape - 3 Inch 4's,Rs. 450.00,Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/802999/3m_micropore_tape_2_inch_6_s_0.jpg,3M Micropore Tape - 2 Inch 6's,Rs. 459.00,Surgical
Mfr: Becton Dickinson (I) Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/381659/bd_discardit_ii_syringe_2ml_needle_23_gm_0.jpg,BD Discardit II Syringe 2ml Needle 23 gm,Rs. 4.50,Surgical
Mfr: Hindustan Syringes & Medical Devices Ltd,https://www.netmeds.com/images/product-v1/150x150/902395/dispovan_31g_insulin_syringe_1_ml_10s_0_0.jpg,Dispovan 31G Insulin Syringe 1 ml 10's,Rs. 80.00,Surgical
Mfr: Hindustan Syringes & Medical Devices Ltd,https://www.netmeds.com/images/product-v1/150x150/894714/dispovan_syringe_2_5_ml_10s_0_0.jpg,Dispovan Syringe 2.5 ml 10's,Rs. 55.00,Surgical
Mfr: Becton Dickinson (I) Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/803077/bd_ultra_fine_mini_pen_needle_5_s_0.jpg,BD Ultra Fine Mini Pen Needle 5's,Rs. 71.61,Surgical
Mfr: Hindustan Syringes & Medical Devices Ltd,https://www.netmeds.com/images/product-v1/150x150/857345/dispovan_syringe_5_ml_10_s_0.jpg,Dispovan Syringe 5 ml 10's,Rs. 34.30,Surgical
Mfr: Hindustan Syringes & Medical Devices Ltd,https://www.netmeds.com/images/product-v1/150x150/857344/dispovan_syringe_3_ml_10_s_0.jpg,Dispovan Syringe 3 ml 10's,Rs. 31.20,Surgical
Mfr: Medipride,https://www.netmeds.com/images/product-v1/150x150/908053/soft_hands_non_sterile_latex_medical_examination_gloves_m_100s_0_0.jpg,Soft Hands Non Sterile Latex Medical Examination Gloves (M) 100's,Rs. 720.00,Surgical
Mfr: Medipride,https://www.netmeds.com/images/product-v1/150x150/908054/soft_hands_non_sterile_latex_medical_examination_gloves_l_100s_0_0.jpg,Soft Hands Non Sterile Latex Medical Examination Gloves (L) 100's,Rs. 720.00,Surgical
Mfr: Haiden Technology Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/859942/control_d_nebulizer_0.jpg,CONTROL D NEBULIZER,"Rs. 1,299.48",Surgical
Mfr: Hindustan Syringes & Medical Devices Ltd,https://www.netmeds.com/images/product-v1/150x150/853795/dispovan_21g_syringe_20_ml_0_1.jpg,Dispovan 21G Syringe 20 ml,Rs. 11.90,Surgical
Mfr: Becton Dickinson (I) Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/368439/bd_neoflon_needle_no_24_0.jpg,BD Neoflon Needle No 24,Rs. 113.10,Surgical
Mfr: Unisoft Surgical Industries,https://www.netmeds.com/images/product-v1/150x150/15694/unisoft_tourniquet_velcro_18_inches_0.jpg,Unisoft Tourniquet Velcro 18 inches,Rs. 33.25,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/901471/aio_latex_gloves_lightly_powdered_l_100s_0_0.jpg,AIO Latex Gloves Lightly Powdered (L) 100's,Rs. 850.00,Surgical
Mfr: Hindustan Syringes & Medical Devices Ltd,https://www.netmeds.com/images/product-v1/150x150/812399/dispovan_needle_23g_10_s_0.jpg,Dispovan Needle 23G 10's,Rs. 10.00,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/901480/1mile_microporous_hypoallergenic_surgical_tape_7_5_cm_x_9_14_m_0_0.jpg,1Mile Microporous Hypoallergenic Surgical Tape (7.5 cm x 9.14 m),Rs. 600.00,Surgical
Mfr: Adeshwar Meditex Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/805226/eye_pad_sterile_0.jpg,Eye Pad Sterile,Rs. 42.00,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/901477/1mile_microporous_hypoallergenic_surgical_tape_1_25_cm_x_9_14_m_0_0.jpg,1Mile Microporous Hypoallergenic Surgical Tape (1.25 cm x 9.14 m),Rs. 600.00,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/901479/1mile_microporous_hypoallergenic_surgical_tape_5_cm_x_9_14_m_0_0.jpg,1Mile Microporous Hypoallergenic Surgical Tape (5 cm x 9.14 m),Rs. 600.00,Surgical
