discount_percent,discount_price,displayPackageQuantity,displayPackageUnit,displayProductName,genericMedicineType,id,image,isAvailable,manufacture,manufactureUrl,name,page_query,price,quantity,sale_price,type
10,144,500,gm,Pro Whey Protein Malt Beverage Chocolate,unit,AMULPPR01A,https://cdn.medlife.com/productImages/AMULPPR01A/AMULPPR01A-1.jpg?id=2020-04-08T08:49:44.391000+00:00,ADD,Gujrat Co-Operative Milk Marketing Fedaration Ltd,https://www.medlife.com/amul/brand/TG00204A,Pro Whey Protein Malt Beverage Chocolate Pouch 500 gm,https://www.medlife.com/amul-pro-whey-protein-malt-beverage-chocolate-pouch-500-gm/otc/AMULPPR01A,160,500,144,Nutrition & Health Supplements
10,144,500,gm,Pro Whey Protein Malt Beverage Chocolate,unit,AMULPPC01A,https://cdn.medlife.com/productImages/AMULPPC01A/AMULPPC01A(1).jpg?id=2020-04-08T08:49:44.251000+00:00,ADD,Gujrat Co-Operative Milk Marketing Fedaration Ltd,https://www.medlife.com/amul/brand/TG00204A,Pro Whey Protein Malt Beverage Chocolate Carton 500 gm,https://www.medlife.com/amul-pro-whey-protein-malt-beverage-chocolate-carton-500-gm/otc/AMULPPC01A,160,500,144,Nutrition & Health Supplements
5,185.25,250,gm,Organic Wild Forest Honey,unit,ORGANPP13A,https://cdn.medlife.com/productImages/ORGANPP13A/ORGANPP13A.jpg?id=2020-04-08T08:49:34.243000+00:00,ADD,Organic India Private Limited,https://www.medlife.com/organic-india/brand/TG00007A,Organic Wild Forest Honey  250 gm,https://www.medlife.com/organic-india-organic-wild-forest-honey-250-gm/otc/ORGANPP13A,195,250,185.25,Nutrition & Health Supplements

45,302.5,1,Unit,Thyroid Profile (T3 + T4 + TSH) - 3 Tests,unit,THYROLP01A,https://cdn.medlife.com/productImages/THYROLP01A/600x600.jpg?id=2020-03-06T11:11:11.123000+00:00,ADD,Medlife Labs,not given,Thyroid Profile (T3 + T4 + TSH) - 3 Tests  1 Unit,https://www.medlife.com/thyroid-profile-t3-t4-tsh-1-unit/otc/THYROLP01A,550,1,302.5,Baby & Mom Care
10,72,200,ml,Bonnisan,liquid,BONNISN02A,https://cdn.medlife.com/productImages/BONNISN02A/BONNISN02A (2).jpg?id=2020-07-15T09:32:29.001000+00:00,ADD,Himalaya Drug Company,not given,Bonnisan Syrup 200 ml,https://www.medlife.com/himalaya-bonnisan-syrup-200-ml/otc/BONNISN02A,80,200,72,Baby & Mom Care
0,400,250,gm,Mama Vanilla,unit,PROTIPJ13A,https://cdn.medlife.com/productImages/PROTIPJ13A/PROTIPJ13A.jpg?id=2020-05-08T05:23:25.999000+00:00,ADD,Nutricia International Pvt Ltd,not given,Mama Vanilla Tin 250 gm,https://www.medlife.com/protinex-mama-vanilla-tin-250-gm/otc/PROTIPJ13A,400,250,400,Baby & Mom Care
0,282,200,gm,Chocolate Flavour,unit,PROPLPN04A,https://cdn.medlife.com/productImages/PROPLPN04A/PROPLPN04A.jpg?id=2020-05-08T05:22:25.995000+00:00,ADD,British Biological,not given,Chocolate Flavour Jar 200 gm,https://www.medlife.com/pro-pl-chocolate-flavour-jar-200-gm/otc/PROPLPN04A,282,200,282,Baby & Mom Care
10,82.8,100,ml,Baby Massage,unit,HIMALOB18A,https://cdn.medlife.com/productImages/HIMALOB18A/HIMALOB18A.jpg?id=2020-07-15T09:12:06.861000+00:00,ADD,Himalaya Drug Company,not given,Baby Massage Oil 100 ml,https://www.medlife.com/himalaya-baby-massage-oil-100-ml/otc/HIMALOB18A,92,100,82.8,Baby & Mom Care
5,605.15,200,ml,Baby Extra Soft,unit,SEBAMCN08A,https://cdn.medlife.com/productImages/SEBAMCN08A/SEBAMCN08A-1.jpg?id=2020-05-08T05:23:28.717000+00:00,ADD,USV Pvt Limited,not given,Baby Extra Soft Cream 200 ml,https://www.medlife.com/sebamed-baby-extra-soft-cream-200-ml/otc/SEBAMCN08A,637,200,605.15,Baby & Mom Care
5,342,500,ml,Lal,unit,DABURLB05A,https://cdn.medlife.com/productImages/DABURLB05A/DABURLB05A.jpg?id=2020-07-10T05:44:53.791000+00:00,ADD,Dabur India Ltd.,not given,Lal Tail 500 ml,https://www.medlife.com/dabur-lal-tail-500-ml/otc/DABURLB05A,360,500,342,Baby & Mom Care
0,470,400,gm,IQ+ Vanilla Delight,unit,SIMMOPJ04A,https://cdn.medlife.com/productImages/SIMMOPJ04A/SIMMOPJ04A-1.jpg?id=2020-06-10T20:20:29.458000+00:00,ADD,Abbott Healthcare Pvt Ltd,not given,IQ+ Vanilla Delight Refill 400 gm,https://www.medlife.com/simmom-iq-vanilla-delight-refill-400-gm/otc/SIMMOPJ04A,470,400,470,Baby & Mom Care
5,466.45,100,ml,Baby,unit,SEBAMLN03A,https://cdn.medlife.com/productImages/SEBAMLN03A/SEBAMLN03A.jpg?id=2020-07-07T16:45:26.118000+00:00,ADD,USV Pvt Limited,not given,Baby Lotion 100 ml,https://www.medlife.com/sebamed-baby-lotion-100-ml/otc/SEBAMLN03A,491,100,466.45,Baby & Mom Care
10,67.5,30,gm,V,unit,VGELZCN01A,https://cdn.medlife.com/productImages/VGELZCN01A/VGELZCN01A.jpg?id=2020-05-08T05:21:32.046000+00:00,ADD,Himalaya Drug Company,not given,V Gel 30 gm,https://www.medlife.com/himalaya-v-gel-30-gm/otc/VGELZCN01A,75,30,67.5,Baby & Mom Care
5,433.2,200,ml,Baby Wash Extra Soft,liquid,SEBAMLN01A,https://cdn.medlife.com/productImages/SEBAMLN01A/SEBAMLN01A.jpg?id=2020-05-08T05:21:22.338000+00:00,ADD,USV Pvt Limited,not given,Baby Wash Extra Soft  200 ml,https://www.medlife.com/sebamed-baby-wash-extra-soft-200-ml/otc/SEBAMLN01A,456,200,433.2,Baby & Mom Care
0,177,300,gm,Stage 1 Rice,unit,CERELPR01A,https://cdn.medlife.com/productImages/CERELPR01A/CERELPR01A(1).jpg?id=2020-05-08T05:20:28.311000+00:00,ADD,Nestle India Ltd,not given,Stage 1 Rice Refill 300 gm,https://www.medlife.com/cerelac-stage-1-rice-refill-300-gm/otc/CERELPR01A,177,300,177,Baby & Mom Care
20,288,500,ML,Baby No More Tears,unit,JOHNSSB07A,https://cdn.medlife.com/productImages/JOHNSSB07A/JOHNSSB07A.jpg?id=2020-04-23T09:46:39.398000+00:00,ADD,Johnson & Johnson,not given,Baby No More Tears Shampoo 500 ML,https://www.medlife.com/stayfree-secure-xl-dry-cover-ultra-thin-sanitary-pads-with-wings-6-pads/otc/STAYFPP10A,360,500,288,Baby & Mom Care
20,50.4,25,gm,Silk And Fresh Hair Removal Cream Dry Skin ,unit,VEETSCT06A,https://cdn.medlife.com/productImages/VEETSCT06A/VEETSCT06A.jpg?id=2020-05-04T07:28:16.121000+00:00,ADD,RECKITT BENCKISER,not given,Silk And Fresh Hair Removal Cream Dry Skin   25 gm,https://www.medlife.com/veet-silk-and-fresh-hair-removal-cream-dry-skin-25-gm/otc/VEETSCT06A,63,25,50.4,Baby & Mom Care
20,1268,50,GM,Breast Growth,unit,MAHERCT01A,https://cdn.medlife.com/productImages/MAHERCT01A/MAHERCT01A.jpg?id=2020-05-04T05:47:16.216000+00:00,ADD,Beauteous,not given,Breast Growth Cream 50 GM,https://www.medlife.com/beauteous-breast-growth-cream-50-gm/otc/MAHERCT01A,1585,50,1268,Baby & Mom Care
0,460,400,gm,Nutrition Vanilla Flavour,unit,BABYMPR01A,https://cdn.medlife.com/productImages/BABYMPR01A/BABYMPR01A.jpg?id=2020-04-08T08:51:41.799000+00:00,ADD,Nestle India Ltd,not given,Nutrition Vanilla Flavour Refill 400 gm,https://www.medlife.com/baby-and-me-nutrition-vanilla-flavour-refill-400-gm/otc/BABYMPR01A,460,400,460,Baby & Mom Care
0,560,400,gm,Pro Stage 4 Follow Up Formula,unit,NANPRPR01A,https://cdn.medlife.com/productImages/NANPRPR01A/NANPRPR01A.jpg?id=2020-04-08T08:51:33.276000+00:00,ADD,Nestle India Ltd,not given,Pro Stage 4 Follow Up Formula Refill  400 gm,https://www.medlife.com/nan-pro-stage-4-follow-up-formula-refill-400-gm/otc/NANPRPR01A,560,400,560,Baby & Mom Care
0,575,400,gm,Pro Stage 2 Follow Up Formula,unit,NANPRPJ01A,https://cdn.medlife.com/productImages/NANPRPJ01A/NANPRPJ01A-1.jpg?id=2020-04-08T08:51:38.344000+00:00,ADD,Nestle India Ltd,not given,Pro Stage 2 Follow Up Formula Refill  400 gm,https://www.medlife.com/nan-pro-stage-2-follow-up-formula-refill-400-gm/otc/NANPRPJ01A,575,400,575,Baby & Mom Care
10,225,200,gm,HiOwna Chocolate Flavour,unit,HIOWNPB05A,https://cdn.medlife.com/productImages/HIOWNPB05A/HIOWNPB05A.jpg?id=2020-04-08T08:49:10.471000+00:00,ADD,Himalaya Drug Company,not given,HiOwna Chocolate Flavour  200 gm,https://www.medlife.com/himalaya-hiowna-chocolate-flavour-200-gm/otc/HIOWNPB05A,250,200,225,Baby & Mom Care
0,220,400,gm,Rice & Moong Dal Baby Cereal,unit,EASUMPN01A,https://cdn.medlife.com/productImages/EASUMPN01A/EASUMPN01A.jpg?id=2020-04-08T08:49:10.188000+00:00,ADD,Nutricia International Pvt Ltd,not given,Rice & Moong Dal Baby Cereal Refill 400 gm,https://www.medlife.com/easum-rice-and-moong-dal-baby-cereal-refill-400-gm/otc/EASUMPN01A,220,400,220,Baby & Mom Care
0,595,500,gm,Premium 3 Follow-Up Formula,unit,DEXOLPN10A,https://cdn.medlife.com/productImages/DEXOLPN10A/DEXOLPN10A.jpg?id=2020-04-03T07:47:22.589000+00:00,ADD,Nutricia International Pvt Ltd,not given,Premium 3 Follow-Up Formula Jar 500 gm,https://www.medlife.com/dexolac-premium-3-follow-up-formula-jar-500-gm/otc/DEXOLPN10A,595,500,595,Baby & Mom Care
5,508.25,200,ml,Baby,unit,CETAPLB09A,https://cdn.medlife.com/productImages/CETAPLB09A/CETAPLB09A.jpg?id=2020-03-16T12:46:47.245000+00:00,ADD,Nestle India Ltd,not given,Baby Shampoo 200 ml,https://www.medlife.com/cetaphil-baby-shampoo-200-ml/otc/CETAPLB09A,535,200,508.25,Baby & Mom Care
5,147.25,200,ml,Gentle Baby ,unit,HIMALSB01A,https://cdn.medlife.com/productImages/HIMALSB01A/HIMALSB01A(1).jpg?id=2020-07-15T11:44:54.880000+00:00,ADD,Himalaya Drug Company,not given,Gentle Baby  Shampoo 200 ml,https://www.medlife.com/himalaya-gentle-baby-shampoo-200-ml/otc/HIMALSB01A,155,200,147.25,Baby & Mom Care
5,60.8,125,gm,Extra Moisturizing Baby,unit,EXTRASS01A,https://cdn.medlife.com/productImages/EXTRASS01A/EXTRASS01A.jpg?id=2020-07-15T11:28:23.204000+00:00,ADD,Himalaya Drug Company,not given,Extra Moisturizing Baby Soap 125 gm,https://www.medlife.com/himalaya-extra-moisturizing-baby-soap-125-gm/otc/EXTRASS01A,64,125,60.8,Baby & Mom Care
