dam_images,discount_percent,discount_price,product_image,isAvailable,mrp,product_name,product_price,product_type
https://cdn01.pharmeasy.in/dam/products_otc/A05999/biofrost-cold-therapy-pain-gel-50g-1.jpg,0,,https://cdn01.pharmeasy.in/dam/products_otc/A05999/biofrost-cold-therapy-pain-gel-50g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,149.00,Biofrost Cold Therapy Pain Gel - 50g,149.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/A59427/biofrost-cold-therapy-roll-on-75g-1.jpg,0,,https://cdn01.pharmeasy.in/dam/products_otc/A59427/biofrost-cold-therapy-roll-on-75g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,199.00,Biofrost Cold Therapy Roll On - 75g,199.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/H28738/boro-plus-aloe-gel-150ml-1.jpg,0,,https://cdn01.pharmeasy.in/dam/products_otc/H28738/boro-plus-aloe-gel-150ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,95.00,Boro Plus Aloe Gel - 150ml,95.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/F71844/boro-plus-aloe-gel-60ml-1.jpg,0,,https://cdn01.pharmeasy.in/dam/products_otc/F71844/boro-plus-aloe-gel-60ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,50.00,Boro Plus Aloe Gel - 60ml,50.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/Y96223/loreal-paris-casting-creme-gloss-hair-color-316-burgundy-875g72ml-1.jpg,5,27.50,https://cdn01.pharmeasy.in/dam/products_otc/Y96223/loreal-paris-casting-creme-gloss-hair-color-316-burgundy-875g72ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,550.00,"L'oreal Paris Casting Creme Gloss Hair Color, 316 Burgundy - 87.5g+72ml",522.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/M35711/loreal-paris-casting-creme-gloss-hair-color-400-dark-brown-875g72ml-1.jpg,5,27.50,https://cdn01.pharmeasy.in/dam/products_otc/M35711/loreal-paris-casting-creme-gloss-hair-color-400-dark-brown-875g72ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,550.00,"L'oreal Paris Casting Creme Gloss Hair Color, 400 Dark Brown - 87.5g+72ml",522.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/B43462/loreal-paris-casting-crme-gloss-small-pack-hair-color-200-ebony-black-45g-1.jpg,5,8.45,https://cdn01.pharmeasy.in/dam/products_otc/B43462/loreal-paris-casting-crme-gloss-small-pack-hair-color-200-ebony-black-45g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,169.00,"L'oreal Paris Casting Crme Gloss Small Pack Hair Color, 200 Ebony Black - 45g",160.55,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/Z94298/loreal-paris-casting-crme-gloss-small-pack-hair-color-300-darkest-brown-45g-1.jpg,5,8.45,https://cdn01.pharmeasy.in/dam/products_otc/Z94298/loreal-paris-casting-crme-gloss-small-pack-hair-color-300-darkest-brown-45g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,169.00,"L'oreal Paris Casting Crme Gloss Small Pack Hair Color, 300 Darkest Brown - 45g",160.55,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/Z94298/loreal-paris-casting-crme-gloss-small-pack-hair-color-300-darkest-brown-45g-1.jpg,5,8.45,https://d1ljlatelrv1en.cloudfront.net/L'Oreal/resized/small/l37351-front.png,True,169.00,"L'oreal Paris Casting Crme Gloss Small Pack Hair Color, 316 Burgundy - 45g",160.55,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/S09326/loreal-paris-casting-crme-gloss-small-pack-hair-color-400-dark-brown-45g-1.jpg,5,8.45,https://cdn01.pharmeasy.in/dam/products_otc/S09326/loreal-paris-casting-crme-gloss-small-pack-hair-color-400-dark-brown-45g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,169.00,"L'oreal Paris Casting Crme Gloss Small Pack Hair Color, 400 Dark Brown - 45g",160.55,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/C84613/loreal-paris-color-protect-shampoo-640ml-1.jpg,5,22.50,https://cdn01.pharmeasy.in/dam/products_otc/C84613/loreal-paris-color-protect-shampoo-640ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,450.00,L'oreal Paris Color Protect Shampoo - 640ml,427.50,Personal Care
